#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
166,Senior Analytics Engineer,Salida,5/29/2026,,,,,
167,Data Analytics Engineer,Tempe,5/29/2026,,,,,
168,Data Analytics Engineer,Los Angeles,5/29/2026,,,,,
169,Senior Analytics Engineer,Hoboken,5/29/2026,,,,,
170,Senior Analytics Engineer,New York,5/29/2026,,,,,
171,Senior Analytics Engineer,Alburtis,5/29/2026,,,,,
172,Data Analytics Engineer,,5/29/2026,Y,5/29/2026,,,
173,Data Analytics Engineer,San Jose,5/29/2026,,,,,
174,Data & Analytics Engineer,New York,5/29/2026,Y,5/29/2026,,,
175,Data Analytics Engineer,Morton Grove,5/29/2026,,,,,
176,Data Analytics Engineer,Jacksonville,5/29/2026,,,,,
177,Senior Analytics Engineer,New York,5/29/2026,,,,,
178,Data Analytics Engineer,Seattle,5/29/2026,,,,,
179,Data Analytics Engineer,Los Angeles,5/29/2026,,,,,
180,Data Analytics Engineer,,5/29/2026,,,,,
181,Data Analytics Engineer,Chicago,5/29/2026,,,,,
182,Data Analytics Engineer,Green Bay,5/29/2026,Y,5/29/2026,,,
183,Data Analytics Engineer,Seattle,5/29/2026,,,,,
184,Data Analytics Engineer,Clarksville,5/29/2026,,,,,
185,Data Analytics Engineer,Fort Myers,,,,,,
186,Data & Analytics Engineer,Anderson,5/29/2026,,,,,
187,Sr Data Analytics Engineer,Seattle,5/29/2026,,,,,
188,Founding/Lead Analytics Engineer,New York,5/29/2026,,,,,
189,Senior Data Analytics Engineer,Tampa,5/29/2026,Y,5/29/2026,,,
190,Senior Lead Analytics Engineer,Boston,5/29/2026,,,,,
191,Senior Analytics Engineer,San Francisco,5/29/2026,Y,5/29/2026,Yes,Y,
192,Data Analytics Engineer,Fort Myers,5/29/2026,,,,,
193,Data Analytics Engineer,Washington,5/29/2026,,,,,
194,Senior Analytics Engineer,Denver,5/29/2026,Y,5/29/2026,,,
